Resume_ID,Job_ID,Job_Title,Company,Similarity,Rank
16852973,3905838042,Marketing Assistant,"Millennium Recruiting, Inc.",0.3556,1
16852973,3884819675,Marketing Manager,Giordano's - Famous Stuffed Pizza,0.3482,2
16852973,3906247368,Human Resources Director,ICMA - International City/County Management Association,0.3437,3
22323967,3903804919,Sales Marketing Manager,Hire Velocity,0.4651,1
22323967,3902876843,Marketing Manager,Ultimate Staffing,0.4476,2
22323967,3887998130,Marketing Manager,TEKsystems,0.429,3
33176873,3905242006,Human Resources Manager,Stardom Employment Consultants,0.438,1
33176873,3904935974,Human Resources Manager,Nixon Power Services,0.4293,2
33176873,3906251112,"Director, Human Resources",Agrace,0.424,3
27018550,3904735044,HR Assistant,Collabera,0.3585,1
27018550,3894887828,Customer Service Specialist,Consumer Legal Group,0.3339,2
27018550,3898164346,Insurance Representative,VDart,0.3179,3
17812897,3905882432,Human Resources Director,Insero Talent Solutions,0.6452,1
17812897,3904086620,Human Resources Generalist,TriSource,0.638,2
17812897,3905873700,Human Resources Generalist,IBSS,0.6261,3
11592605,3895507446,Immigration Specialist,George Mason University,0.3578,1
11592605,3902905885,Dean of Students,Greenfield Community College,0.3389,2
11592605,3903874896,"Department Assistant 3, Campus Services",Case Western Reserve University,0.3232,3
25824789,3905873700,Human Resources Generalist,IBSS,0.4626,1
25824789,3905242006,Human Resources Manager,Stardom Employment Consultants,0.4437,2
25824789,3901661179,Chief Human Resource Officer,H&H Leadership Solutions,0.4186,3
15375009,3902875974,Director of Human Resources,Sacramento LGBT Community Center,0.5266,1
15375009,3905242006,Human Resources Manager,Stardom Employment Consultants,0.5118,2
15375009,3904923211,Human Resources and General Affairs Manager,,0.5093,3
11847784,3901932240,HR Manager,Ultimate Staffing,0.435,1
11847784,3904086620,Human Resources Generalist,TriSource,0.41,2
11847784,3903476450,HR Employee Specialist Lead (SERS),Nisga'a CIOPS,0.3997,3
32896934,3891076706,HR Coordinator,Vaco,0.573,1
32896934,3904086620,Human Resources Generalist,TriSource,0.5421,2
32896934,3905340000,People Coordinator,Eva's Village,0.5376,3
29149998,3886485488,Human Resources Manager,The HR SOURCE,0.4138,1
29149998,3905201016,Human Resources Director,The Keller Group,0.389,2
29149998,3906247368,Human Resources Director,ICMA - International City/County Management Association,0.3834,3
11480899,3901650285,Human Resources Manager,MSI Recruiting,0.5645,1
11480899,3905882432,Human Resources Director,Insero Talent Solutions,0.5509,2
11480899,3905873700,Human Resources Generalist,IBSS,0.5443,3
23155093,3895516247,Senior Manager Human Resources Business Partner DC,Ashley Furniture Industries,0.3093,1
23155093,3885840833,"Manager, Information Systems (Clinical Applications) - IS Inpatient Apps - Full Time 8 Hour Days (Exempt) (Non-Union)",Keck Medicine of USC,0.3046,2
23155093,3902875974,Director of Human Resources,Sacramento LGBT Community Center,0.3045,3
11763983,3905295445,Human Resources Generalist,Climate Systems LLC,0.4537,1
11763983,3901690869,HR Generalist,World Kinect,0.4469,2
11763983,3905873700,Human Resources Generalist,IBSS,0.4432,3
27490876,3905242006,Human Resources Manager,Stardom Employment Consultants,0.4746,1
27490876,3901392513,Human Resources Generalist,Dollar General,0.4517,2
27490876,3902875974,Director of Human Resources,Sacramento LGBT Community Center,0.4353,3
32977530,3889767856,Accounts AR Clerk and AP Specialist (2 jobs),DSS (Direct Scaffold Supply),0.494,1
32977530,3903874106,Accounting Technical Specialist - Accounts Payable,City of Atlanta,0.4758,2
32977530,3899538195,AP Manager,Vaco,0.4637,3
93002334,3905340000,People Coordinator,Eva's Village,0.4599,1
